Id,Name,Address,Lat,Lng,Value
43,Pizza Hut Shopping Aricanduva,Av. Aricanduva‚ 5555 - Vila Aricanduva - São Paulo – SP,-23.5554413,-46.5190949,
44,Pizza Hut Shopping Higienópolis,Av. Higienópolis‚ 618 - Loja Arco 521 – Higienópolis - São Paulo - SP,-23.5956198,-46.6772871,
45,Pizza Hut Vila Mariana,R. Humberto I‚ 420 - Vila Mariana - São Paulo – SP,-23.5839037,-46.6453455,
46,Pizza Hut Perdizes,R. Cardoso De Almeida‚ 731 – Perdizes - São Paulo – SP,-23.537325,-46.6702987,
47,Pizza Hut Shopping Osasco União,Av. Dos Autonomistas‚ 1400 - Arco Ff12 - Vila Yara – Osasco – SP,-23.5408507,-46.7816912,
48,Pizza Hut Ipiranga,Avenida Nazaré‚ 666 – Ipiranga - São Paulo – SP,-23.5898316,-46.6133547,
49,Pizza Hut Vila Mascote,Rua Derval‚ 76 - São Paulo – SP,-23.6441641,-46.6719724,
50,Pizza Hut Indaiatuba,Avenida Presidente Kennedy‚ 1377 - Cidade (Bairros) – Indaiatuba – SP,-23.0841667,-47.2040942,
51,Pizza Hut Mogi Das Cruzes,Rua Manoel Oliveira‚ 269 - Vila Mogilar - Mogi Das Cruzes – SP,-23.5097871,-46.1958893,
52,Pizza Hut Americana,Rua Das Paineiras‚ 38 – Americana – SP,-22.7526699,-47.3433839,
53,Pizza Hut Shopping Metrópole SBC,Praça Samuel Sabatine‚ 200 – Centro - São Bernardo Do Campo – SP,-23.6931075,-46.5528441,
54,Pizza Hut Vila Clementino,Rua Loefgren‚ 1321 - São Paulo – SP,-23.599828,-46.6411913,
55,Pizza Hut Shop. Boulevard Mogi-Guaçu,Avenida Mogi Mirim‚ 210 - Morro De Ouro - Mogi Guaçu – SP,-22.3732513,-46.9456103,
56,Pizza Hut Golden Square Shopping SBC,Avenida Kennedy‚ 700 – Centro - São Bernardo Do Campo – SP,-23.6835214,-46.5599193,
57,Pizza Hut Vila Boim,Rua Armando Penteado‚ 1 - São Paulo – SP,-23.5448269,-46.6636488,
58,Pizza Hut Valinhos,Rua Paiquere‚ 200 – Cidade – Valinhos – SP,-22.9812904,-47.0122507,
59,Pizza Hut Shopping Jardim Sul,Av. Giovanni Gronchi‚ 5819 - Vila Andrade - São Paulo – SP,-23.6300221,-46.7388462,
60,Pizza Hut Hortolândia,R. João Barreto Da Silva‚ 150 - Rp 1-1 – Hortolândia – SP,-22.853114,-47.217255,
61,Pizza Hut Shopping Pátio Ciane,Av. Dr. Afonso Vergueiro‚ 823 – Centro – Sorocaba – SP,-23.4961453,-47.4638345,
62,Pizza Hut Vila Leopoldina,Rua Carlos Weber‚ 344 - São Paulo – SP,-23.524597,-46.7360315,
63,Pizza Hut Super Shopping Osasco,Avenida Dos Autonomistas‚ 1828 - Industrial Autonomistas – Osasco – SP,-23.539892,-46.7712268,
64,Pizza Hut Vila Nova Conceição,Av. Santo Amaro‚ 604 - Vila Olímpia - São Paulo – SP,-23.589389,-46.674853,
65,Pizza Hut Chacara Klabin,Av. Lins De Vasconcelos‚ 2777 - Chácara Klabin - São Paulo – SP,-23.5866236,-46.6307176,
66,Pizza Hut Apizza Hutaville,Avenida Yojiro Takaoka‚ 3.980 – Apizza Hutaville - Santana De Parnaíba – SP,-23.4667959,-46.874158,
67,Pizza Hut Bom Retiro,Rua Guarani‚ 226 - São Paulo – SP,-23.5281427,-46.6385978,
68,Pizza Hut Zero Mogi Mirim Centro,Rua Padre Roque‚ 913 - Mogi Mirim – SP,-22.4392832,-46.9669631,
69,Pizza Hut Piracicaba,Avenida Armando De Salles Oliveira‚ 1415 - Cidade Alta – Piracicaba – SP,-22.7232038,-47.6473049,
70,Pizza Hut Brooklin,Avenida Padre Antonio Jose Dos Santos‚ 1306 – Brooklin - São Paulo – SP,-23.6078257,-46.6921287,
71,Pizza Hut Paraiso,Avenida Brigadeiro Luis Antonio‚ 2893 - São Paulo – SP,-23.5717951,-46.6554801,
72,Pizza Hut Extra Jaguaré,Avenida Corifeu De Azevedo Marques‚ 4160 - Parque Continental - São Paulo – SP,-23.5568746,-46.7509342,
73,Pizza Hut Franca,Avenida Doutor Ismael Alonso Y Alonso‚ 1799 – Franca – SP,-20.5417103,-47.3986081,
74,Pizza Hut Saúde,Avenida Miguel Estefno‚ 1663 - São Paulo – SP,-23.6248461,-46.6317257,
75,Pizza Hut Marília,Av. Tiradentes‚ 184 – Fragata – Marília – SP,-22.2203071,-49.9446916,
76,Pizza Hut Salto,Av. Getúlio Vargas‚ 952 - Jardim Celani – Salto – SP,-23.1908221,-47.310184,
77,Pizza Hut Vila Sofia,Avenida Washington Luis‚ 1030 - São Paulo – SP,-23.6571448,-46.6978048,
78,Pizza Hut Araçatuba,Av. Brasília‚ 2121 - Loja 11 – Araçatuba – SP,-21.2284854,-50.4400003,
79,Pizza Hut Jacareí,Avenida Das Letras‚ 914 – Jacareí – SP,-23.2655071,-45.9445519,
80,Pizza Hut Itapetininga,Av. Peixoto Gomide‚ 417 – Centro – Itapetininga – SP,-23.5851384,-48.0512644,
81,Pizza Hut Itatiba,Av. Mal. Castelo Branco‚ 616 - Jardim Da Luz – Itatiba – SP,-23.0212691,-46.845201,
82,Pizza Hut Mandaqui,Av. Eng. Caetano Álvares‚ 4110 – Imirim - São Paulo – SP,-23.4884678,-46.6506594,
83,Pizza Hut Demarchi,Av. Capitão Casa‚ 1050 - Parque Espacial - São Bernardo Do Campo – SP,-23.7268495,-46.5665626,
84,Pizza Hut Sumaré,Av. Rebouças‚ 1891 - Jardim Alvorada – Sumaré – SP,-22.819225,-47.2773821,
85,Pizza Hut Chácara Santo Antônio,R. Américo Brasiliense‚ 1376 - Chácara Santo Antônio - São Paulo – SP,-23.6324121,-46.7027344,
